Date,State,Trivandrum,Kollam,Pathanamthitta,Alapuzha,Kottayam,Idukki,Ernakulam,Thrissur,Palakad,Malapuram,Kozhikode,Wayanad,Kannur,Kasargod
28-03-2020,1,,,,,,,1,,,,,,,
31-03-2020,1,1,,,,,,,,,,,,,
